,wellbeing,mental_health_support,aware_of_wellbeing_resources,used_resources_in_past,rating_of_services_used,open_question,wellbeing_communication,physical_activity,sleep_hours,physical_health,connected_at_university,support_network,sad,assignments,years_in_university,satisfied_university,overwhelmed,workload
0,4,1,2,2,,Actually communicating that they have support and resources would be already a nice thing to do,1,1,3,2,3,4,1,2,0,3,3,4
1,4,2,2,2,,Study from home. More Zoom-Lessons,2,1,4,3,1,4,2,3,3,2,2,2
2,3,2,2,2,,Sticking to the google calendar provided and not changing things around always as we all have plans and have to cancel,1,2,4,2,3,3,1,1,0,3,4,4
3,3,1,1,2,,"Ongoıng support over longer perioda of tıme for chronıc challenges. For example, when I needed support for my chronıc anxıety and mental health dısabılıtıes, I had a few sessıons but then once they were fınıshed they acted lıke I was ""cured"" and never followed up agaın. Now I feel reluctant to reach out to the school support as I feel ıt ıs not meant for someone wıth the challenges that I face.",2,2,4,2,3,3,2,2,3,4,4,4
4,4,2,1,2,,"MORE OPTIONS WITH FOOD FOR ALLERGIC PEOPLE.
",1,4,4,3,3,4,1,2,0,4,3,3
5,4,0,0,2,,I dont think there is any,2,3,4,3,3,4,1,2,0,4,4,4
6,4,2,2,1,Positive,"- better communication and explanation of courses
- no need to be in the ini 5 days a week, sometimes I feel like its a waste of time. the time I could've spend working on my projects ",1,3,4,4,3,4,2,2,0,3,4,4
7,3,1,2,2,,"some more time for selfstudy/time for myself, to reflect on my work and collect my thoughts better",1,3,4,3,3,4,2,2,0,3,3,4
8,3,2,0,2,,I don´t really need any.,2,1,4,3,4,4,1,3,0,3,3,3
9,3,0,0,2,,"Unsure, maybe small input about where to go or find help if needed.",2,1,3,1,2,3,2,3,3,3,3,3
10,4,1,2,2,,,1,2,3,3,2,4,2,3,0,4,3,3
11,4,0,1,2,,,2,1,3,2,4,4,2,3,0,4,2,2
12,3,1,1,2,,neurodivergence awareness and autoimmune diseases,2,2,3,1,3,4,3,3,0,5,4,3
13,3,1,1,2,,Maybe smaller classes ( art- ) ,2,3,4,2,1,4,3,1,0,4,3,3
14,3,1,2,2,,Uhhh just like a number or office to go to (flyers and stuff),1,1,3,1,3,3,2,2,0,4,4,3
15,3,2,1,2,,,3,3,4,3,3,4,2,3,2,4,3,2
16,4,1,0,2,,"more plants in the building
",1,3,4,2,3,4,2,4,0,4,3,2
17,4,2,1,2,,,3,3,4,3,4,3,2,3,1,4,2,2
18,4,1,2,2,,:-) thank you,1,1,4,2,4,4,1,2,2,4,2,3
19,3,1,1,0,,"Less workload; more extra curricular; clear communications about activities, assignments and deadlines; promote more group activites during modules rather than dividing into teams within.",1,3,4,3,2,2,2,1,0,4,4,3
20,3,1,1,2,,Unsure. Maybe your social events and opportunities to meet people outside my program,2,2,2,2,1,2,2,4,0,4,3,2
21,3,1,1,2,,Connecting students,1,2,4,2,2,2,3,3,3,4,3,3
22,4,1,0,2,,Having more time to accomplish the assignments. ,2,3,4,3,2,4,2,1,0,4,3,3
23,4,2,0,2,,,3,3,2,2,4,3,2,1,0,3,4,3
24,5,1,1,2,,,2,1,4,3,3,4,1,4,0,5,3,2
25,4,1,1,2,,An overall awareness of neurodiversity would help for understanding each other.,2,3,4,2,3,3,2,2,0,4,4,2
26,2,1,0,2,,"More free time to use the facilities of the school, more lectures where we learn and don’t have to interact, more 1:1 moments with teachers, not being so stressed about the money ",3,1,3,2,3,4,3,2,0,3,4,3
27,4,1,1,2,,,2,2,4,3,2,3,2,3,2,4,3,3
28,2,1,1,2,,Mental health awarness,2,1,4,2,2,4,2,2,2,4,3,3
29,2,1,1,2,,Individual counselling in a timely manner. My biggest issue is the unavailable time it seems like there are only one or two mental health professionals when there should be far more so more people can get counselling and not be in peril for months just to get an assessment and then wait further. ,1,1,2,2,0,0,4,1,0,3,5,4
30,1,1,0,2,,,3,4,4,1,1,3,3,3,0,5,4,1
31,3,1,2,2,,,3,0,3,2,3,3,2,2,1,4,4,3
32,3,1,1,2,,I heard that there are only two counsellors at Hslu and it often takes a long time to take an appointment. Perhaps…hire more people. ,2,1,4,2,4,3,2,3,1,2,3,3
33,2,1,1,2,,,3,4,4,4,2,2,2,2,3,2,4,4
34,4,2,2,2,,,1,2,4,3,3,2,2,4,0,4,2,1
35,3,1,1,1,Very positive,,3,2,4,1,3,3,2,3,4,4,4,4
36,2,1,1,1,Positive,,0,2,4,1,0,2,4,3,4,2,5,3
37,3,2,1,2,,,3,4,5,4,1,4,0,4,1,3,1,1
38,3,2,2,2,,,1,4,4,4,1,2,2,2,1,3,3,3
39,4,0,0,2,,,2,1,3,0,1,3,3,2,0,3,4,4
40,3,2,1,1,Neutral,In-house campus mindfulness meditation (not yoga)  group in HSLU DFK (not from HSCL because their timing and location is often inconvenient),1,2,3,2,3,3,1,2,1,3,4,3
41,3,1,2,2,,,2,2,4,3,3,3,3,3,1,4,3,3
42,1,1,0,1,Neutral,"Die Dozierenden sollten schauen was wir lernen möchten in Module und was unsere Ziele sind und nicht nur ihre. Ausserdem gibt es wenig Awarness über Neurodiverität von den Dozierenden.
Das Verständnis vom Zusammenhang von Produktivität und Pausen (z.B. keine Arbeit am Wochenende) ist unzufriedenstellend.",1,1,4,2,4,3,3,1,2,3,5,5
43,4,0,2,2,,"More colorful infrastructure, that makes it more warm and welcoming when you wank into the building. Maybe even more plants..",1,3,4,3,1,1,2,2,2,4,5,4
44,4,2,1,2,,,1,2,4,3,1,3,1,2,1,4,3,4
45,5,1,1,2,,,3,2,4,3,3,4,2,3,1,5,2,2
46,5,2,1,2,,,1,3,4,3,4,4,2,3,1,5,4,3
47,3,1,0,2,,,1,1,4,2,3,4,3,1,2,4,4,4
48,4,1,1,2,,"a “de-escalation room”, where people who feel overwhelmed can go to calm down, or a room with some beanbags, couches etc where people can go to take naps during the day. I struggle with adhd anxiety & depression which gives me huge highs and lows in energy levels and sensory overload/underload (? not sure if thats a word haha) and a quiet and cozy room where i could reload would be really really helpful.",1,3,3,3,3,4,3,3,2,4,4,4
49,2,1,0,2,,"Support with job opportunities/internships
Less university workload
Less hours (8h/day +evening lectures,language course,isa etc",2,1,3,2,3,3,3,1,1,4,5,5
50,1,1,1,1,Positive,"There are only 3 free visits to psychologist and in case you have a strong depression or suicidal attemps it doesn't hepl. No space for phisical activities, we qlways seat in a train to school at school at lunch and at train back. It influense on mental health. Together with haotic schedule, high expectation it brings a lot of stress. ",1,2,3,1,3,3,3,1,2,4,5,4
51,2,1,1,2,,,2,2,3,2,3,4,3,0,1,2,4,5
52,2,1,1,1,Positive,,1,2,4,3,4,4,3,3,2,4,3,4
53,3,0,1,2,,Remote lectures (not having to be on-site all the time),2,3,4,2,2,4,2,2,0,4,3,3
54,1,0,0,2,,,3,1,5,4,1,0,4,4,0,3,5,4
55,4,2,2,2,,Maybe a place where you can talk about academic pressure or mediation service for conflicts between students or students and professors,0,1,3,3,1,4,2,3,2,4,3,3
56,4,0,0,2,,Idk ,2,0,3,1,2,3,2,1,2,4,4,4
57,4,2,2,2,,Sport,2,3,4,3,2,3,1,2,2,3,2,2
58,4,1,0,2,,better self-care and discipline,1,1,4,2,2,3,2,3,1,4,3,3
59,4,1,2,2,,,1,2,4,3,2,2,2,3,0,4,4,3
60,3,1,0,2,,,1,2,4,2,3,4,2,1,0,4,4,4
61,3,0,2,2,,,1,2,3,3,3,3,1,3,0,4,4,3
62,5,2,2,2,,,1,3,4,4,4,4,2,3,1,4,2,3
63,3,0,1,2,,if the school acklowledges that it is important for some students to have paid work to finance their studies and make accomodate in the semesterplans for that. right now i feel there is no window to work and there is no option to study parttime. so the school pushes me to be overworked and feel overwhelmed. ,2,2,3,1,2,2,3,2,2,3,4,4
64,3,1,2,2,,,0,2,3,2,3,2,2,2,1,4,4,3
65,4,1,1,2,,,1,1,4,3,4,4,2,2,2,4,4,4
66,2,1,2,2,,,1,3,4,3,1,0,3,3,1,3,5,3
67,3,1,2,2,,Awareness ,2,2,3,2,3,3,3,3,0,4,3,3
68,5,1,2,2,,,0,4,5,3,2,3,2,3,1,4,3,2
69,3,1,1,2,,"Would be nice to have a counselor in the DFK campus who you could just walk to when you need, without needing to schedule, especially that sometimes you need someone on the spot. ",2,2,2,3,3,3,2,3,4,3,4,3
70,4,2,2,2,,,1,3,4,3,3,4,2,3,1,4,3,3
71,3,1,1,1,Positive,,4,4,3,3,2,3,2,1,0,4,4,4
72,3,0,2,2,,talking to trustable neutral person who is confidential,1,3,4,2,3,3,2,3,3,3,3,3
73,3,1,1,1,Positive,,3,4,4,3,1,4,2,1,3,3,3,3
74,3,1,0,1,Very positive,"One free afternoon a week
For doctors appointments, moving my body, getting chores done etc. I dont have any time left during the week and it drives me crazy trying to pack all of the chores into the 2 hrs in the evening, where i try to eat sleep and shower or finish school projects. I dont have time to move my body anymore at all, i know the gym exists but WHEN am i supposed to go there??when am i supposed to use these services if i am at school from 9-19 every day and i work my retail job on the weekends?",2,0,3,1,2,3,2,2,1,3,4,4
75,3,1,2,2,,,2,3,5,3,3,3,2,3,3,4,4,3
76,4,0,0,2,,Good organization of the school. Teachers being more precise and keeping up to the timelines. Lack of organization auments the presure. We dont know what to do when to do. They need to be mıre considerate and interested in the students. ,2,2,4,2,4,4,3,2,2,2,5,4
77,4,0,0,2,,,2,2,3,2,3,4,2,0,2,5,5,4
78,3,1,0,2,,,1,1,4,3,3,4,2,1,0,5,4,4
79,3,1,1,2,,,1,2,4,2,3,3,2,3,2,4,3,2
80,2,1,0,2,,,1,3,3,2,0,1,3,2,0,4,5,4
81,4,2,1,2,,,2,4,3,3,3,4,2,3,0,4,4,2
82,3,2,0,1,Positive,,2,4,4,3,3,4,2,3,2,1,2,2
83,4,1,0,2,,,2,2,4,3,3,3,2,3,4,4,2,3
84,2,0,0,1,Positive,,2,2,4,1,2,3,2,3,2,2,3,3
85,3,1,1,1,Very positive,,3,2,4,4,3,3,3,2,4,4,4,2
86,1,1,1,2,,Crying and not being in uni anymore ,1,2,3,2,1,2,3,1,3,2,5,5
87,4,1,1,2,,Community and friendships to rely on ,1,3,5,3,3,4,3,2,4,4,4,5
88,5,1,1,1,Positive,,3,2,5,4,3,3,1,4,0,5,3,2
89,4,1,1,2,,,3,3,4,3,3,4,1,3,0,4,2,2
90,3,1,1,2,,,2,2,4,2,3,3,2,4,0,4,3,2
91,5,1,2,2,,,0,2,4,3,3,4,2,4,0,4,2,1
92,4,1,0,2,,,2,2,4,3,3,3,2,3,0,4,3,2
93,5,1,2,2,,Social contacts,2,3,4,4,3,4,2,2,0,4,3,1
94,4,0,0,2,,,2,2,4,2,3,3,2,2,0,4,3,3
95,4,1,1,2,,Self reflection,2,2,4,3,2,4,2,3,3,4,1,3
96,3,1,1,2,,,1,2,4,3,3,3,2,3,2,4,3,3
97,3,1,0,2,,,1,3,4,2,3,4,2,3,2,4,4,3
98,5,2,2,2,,,2,2,3,4,4,3,1,4,0,5,2,1
99,3,1,1,2,,,2,2,4,3,2,3,2,3,2,4,3,3
100,4,1,0,1,Positive,,3,3,4,3,4,4,2,3,3,4,3,4
101,3,0,0,2,,,1,3,5,3,2,2,2,3,3,4,3,3
102,3,1,1,2,,,2,1,3,2,3,2,3,3,3,4,4,3
103,5,2,1,2,,,1,3,4,3,4,4,1,3,0,5,2,1
104,4,1,0,2,,,1,1,4,1,4,4,1,3,1,5,3,3
105,5,2,0,2,,,2,1,5,3,4,2,0,3,2,5,3,2
106,4,1,1,2,,,1,1,4,1,4,4,1,3,1,4,3,4
107,5,0,0,2,,Free coffee :),2,3,4,3,4,4,1,3,0,4,1,1
108,3,0,1,2,,,2,2,3,2,3,4,3,1,1,3,3,4
109,5,2,1,2,,Maybe quiet spaces and more food options at cafeteria (meat included for example),3,3,5,3,3,4,1,4,1,4,2,1
110,5,2,2,2,,,2,2,4,2,2,3,1,3,0,5,2,3
111,5,2,1,2,,,3,3,4,3,3,4,0,3,0,5,2,2
112,3,1,1,2,,less portfolios,2,2,4,2,2,3,2,1,0,3,4,4
113,5,1,2,2,,"Free medicine, less work",2,2,4,3,3,4,1,3,0,5,3,3
114,4,2,2,2,,,2,1,3,2,2,3,2,2,2,3,3,3
115,3,1,1,2,,,3,1,3,1,3,4,2,1,2,4,4,3
116,4,2,1,2,,,2,0,4,2,3,3,1,3,0,4,3,3
117,4,2,1,2,,,3,3,4,3,3,2,1,3,1,5,2,3
118,3,2,1,2,,,3,2,4,2,2,3,2,3,1,5,3,3
119,2,1,1,2,,someone in school (like a teacher) who you can talk to if you have health problem that makes you unable to work good at school,2,3,3,3,3,4,3,1,2,4,5,5
120,3,1,0,2,,"Meditation room/room to reset nervous system 
More yoga 
Outdoor yoga in the summer
More inclusive resources/ interactions with faculty

",2,2,3,1,3,4,3,0,0,3,4,5
121,3,0,1,2,,More free time 😀,1,3,4,3,3,3,1,3,2,4,4,4
122,4,2,1,2,,,3,2,4,2,3,3,2,3,0,4,1,3
123,3,1,0,2,,"I once tried to find where to sign up for the school psychiatrist, but it was so hard to find on the website that I gave up. ",1,2,4,3,3,4,2,1,3,4,4,4
124,3,2,0,2,,Maybe like some online courses ,1,3,4,2,2,3,2,3,1,3,3,3
125,3,2,2,2,,,1,2,4,2,3,3,2,1,1,3,3,4
126,3,1,1,1,Positive,more understanding of the teachers when i dont feel well enough to finish an assignment,2,1,4,3,3,3,2,3,3,4,4,4
127,3,1,1,2,,,2,3,4,3,4,2,2,3,2,4,3,3
128,4,1,2,2,,,2,3,3,3,2,3,1,1,3,4,3,3
129,4,1,1,1,Positive,,3,3,4,2,4,4,1,2,2,4,2,3
130,4,1,1,2,,,1,2,4,3,3,3,1,0,3,5,2,2
131,3,2,1,2,,,0,3,3,2,2,3,2,1,2,3,3,2
132,4,1,1,1,Positive,,2,2,4,3,2,4,2,3,2,5,3,3
133,5,0,0,2,,,2,1,3,2,4,4,2,3,0,4,2,2
134,4,0,1,2,,,2,2,4,3,3,3,1,3,0,4,2,3
135,4,1,1,2,,,2,1,3,2,3,2,3,3,0,4,3,3
136,4,2,1,2,,I’m good,3,1,4,1,1,2,2,3,1,5,4,4
137,4,2,1,2,,I am not missing anything.,3,2,4,3,2,4,1,3,1,5,3,3
138,4,2,1,2,,,2,2,4,3,3,4,1,3,0,4,3,3
139,2,1,1,2,,,3,3,3,2,2,3,3,3,0,3,4,3
140,2,1,1,2,,,3,2,4,2,2,1,3,2,0,3,4,3
141,3,1,2,2,,,0,4,4,4,1,3,3,2,0,3,4,2
142,4,1,0,2,,Time management is a key thing for me. It helps me to have a planned schedule to know what’s coming next.,2,3,3,3,3,3,2,4,0,5,3,2
143,5,0,1,2,,,2,2,3,3,2,3,1,2,0,4,2,3
144,4,2,0,0,,,2,0,4,2,1,4,2,3,1,3,2,3
145,2,1,1,2,,A curriculum that gives me some sort of daily rhythm. It‘s really hard to focus on Uni when you don‘t really have any meetings/courses/short time goal. I‘m in my last semester and the goal is just too far away. ,2,4,4,4,3,4,3,4,4,1,3,2
146,3,2,2,2,,Chat gpt talk ,1,2,3,2,2,3,2,2,1,3,4,3
147,3,1,1,1,Very positive,Just have more time to finish project ,3,1,5,2,3,3,2,0,1,4,4,5
148,3,1,0,2,,,2,0,3,2,3,3,2,1,1,4,4,4
149,5,2,1,2,,,2,3,4,3,2,4,1,4,0,4,2,2
150,3,1,0,2,,,1,2,4,2,2,3,3,1,1,4,5,5
151,2,1,1,1,Positive,,1,1,3,1,4,4,3,0,1,3,4,5
152,4,2,1,2,,Living closer to the school.,3,2,3,1,2,3,3,1,1,4,3,4
153,5,2,1,2,,,2,2,3,4,2,4,0,3,1,4,1,3
154,4,2,2,2,,ice bath in the kleine emme with saunas ,1,2,3,3,2,3,1,3,1,4,4,3
155,3,1,2,2,,a timemachine which can be self-controlled,3,0,2,0,2,4,3,1,2,5,4,4
156,4,2,1,2,,,3,2,4,3,3,4,0,3,0,5,2,3
157,4,1,1,2,,thank you,2,3,4,3,2,2,1,3,2,4,3,3
158,3,1,1,2,,More Time,2,3,4,2,2,4,3,2,0,3,4,3
159,4,1,1,2,,More partys to dance and met more people at this school,2,2,2,2,4,4,2,2,2,4,3,3
160,2,2,0,2,,"I feel that a lot is missing, I honestly am very disappointed in the quality of the lectures and lack of contents for specific courses. A lot of talk but no changes really. 
I feel like the only reason I am completing my thesis is because I care about my topic, while from the school the maximum that I can get is some new ""ideas"" that honestly I don't need. ",2,4,4,4,3,4,2,3,1,1,2,1
161,4,2,0,2,,,2,3,4,3,3,4,1,4,0,5,1,1
162,5,2,2,2,,-,3,1,4,4,4,4,1,4,0,5,2,2
163,4,2,1,2,,,2,4,4,4,2,3,1,3,0,4,2,3
164,5,2,1,2,,,4,2,4,3,3,4,1,4,0,5,2,2
165,4,1,0,2,,,2,3,3,4,4,4,1,3,0,5,3,2
166,3,1,0,2,,,1,1,2,1,3,3,3,3,3,4,5,3
167,2,1,1,2,,,1,3,4,3,1,2,3,3,2,2,4,2
168,5,1,1,2,,,3,0,4,2,2,2,2,3,2,5,2,3
169,4,1,0,2,,psychiatrist ,2,3,4,3,1,3,2,3,0,5,3,2
170,4,2,1,2,,,2,3,4,3,3,4,1,3,3,4,3,3
171,3,2,1,2,,"Better organisation, also that the school listens to EVERY student needs, some group of students are clearly put aside and it makes this experience even worse. A lot of things to say but nothing ever changes apparently so I just mind my own business now",0,3,4,3,2,2,3,1,0,2,4,4
172,2,2,1,2,,,1,1,4,3,0,3,4,1,0,1,5,5
173,5,1,1,2,,,3,2,4,3,2,4,2,3,0,4,3,3
174,4,0,0,2,,,3,1,4,2,2,4,2,3,3,4,4,4
175,3,1,1,2,,,2,1,3,3,4,4,3,1,2,4,4,5
176,5,2,0,2,,,1,2,3,2,3,4,1,3,0,4,2,2
177,2,0,0,2,,,1,2,4,2,1,1,3,2,2,2,4,4
178,3,1,1,2,,,3,2,4,3,3,4,3,3,0,4,3,3
179,3,0,2,2,,"Clearer scedule, better communication of workload ",1,2,4,3,2,3,2,1,0,3,4,4
180,3,1,1,2,,probably therapy,3,2,4,2,2,3,2,3,3,3,4,2
181,4,1,0,2,,,2,1,3,3,3,3,1,2,3,5,3,4
